Alpha, Beta, Density, Flux
0.05,0.2,0.03348,0.031085
0.05,0.2,0.022445,0.021685
0.05,0.2,0.02606,0.0248625
0.05,0.2,0.0274325,0.02608
0.05,0.2,0.027815,0.026155
0.05,0.2,0.02442,0.0231425
0.05,0.2,0.027925,0.02619
0.05,0.25,0.0301725,0.02905
0.05,0.25,0.02804,0.027025
0.05,0.25,0.03041,0.0291775
0.05,0.25,0.0260625,0.025025
0.05,0.25,0.02381,0.022935
0.05,0.25,0.0210925,0.02025
0.05,0.25,0.02602,0.02509
0.05,0.25,0.02664,0.0256275
0.05,0.25,0.029075,0.0280975
0.05,0.25,0.0258825,0.024915
0.05,0.3,0.029525,0.02874
0.05,0.3,0.028135,0.0273
0.05,0.3,0.0270825,0.0261825
0.05,0.3,0.0290325,0.0280925
0.05,0.3,0.029035,0.02822
0.05,0.3,0.02219,0.0214975
0.05,0.3,0.0257025,0.02491
0.05,0.3,0.0248375,0.0239175
0.05,0.3,0.031025,0.0298425
0.05,0.3,0.0302825,0.02931
0.05,0.35,0.02742,0.0267525
0.05,0.35,0.025,0.0243675
0.05,0.35,0.0219675,0.0215175
0.05,0.35,0.0241775,0.0235525
0.05,0.35,0.02244,0.021885
0.05,0.35,0.0226075,0.0221075
0.05,0.35,0.02339,0.022925
0.05,0.35,0.0233675,0.0229775
0.05,0.35,0.02403,0.0233725
0.05,0.35,0.02999,0.0290075
0.05,0.4,0.0246625,0.0239875
0.05,0.4,0.021835,0.0214225
0.05,0.4,0.0261075,0.0254625
0.05,0.4,0.0247375,0.0243325
0.05,0.4,0.028155,0.0275725
0.05,0.4,0.0325225,0.0317775
0.05,0.4,0.0259275,0.0254025
0.05,0.4,0.0257,0.025175
0.05,0.4,0.0231275,0.0226875
0.05,0.4,0.0240575,0.0234
0.05,0.45,0.0256225,0.02514
0.05,0.45,0.024375,0.0240125
0.05,0.45,0.028965,0.02838
0.05,0.45,0.0246125,0.024195
0.05,0.45,0.028505,0.0278225
0.05,0.45,0.025635,0.025235
0.05,0.45,0.027715,0.027085
0.05,0.45,0.0267775,0.02624
0.05,0.45,0.0261525,0.0255725
0.05,0.45,0.021285,0.0208275
0.05,0.5,0.02805,0.027605
0.05,0.5,0.028345,0.0278125
0.05,0.5,0.023945,0.023655
0.05,0.5,0.02605,0.0256225
0.05,0.5,0.022655,0.022375
0.05,0.5,0.0270425,0.02655
0.05,0.5,0.0239725,0.023575
0.05,0.5,0.0239775,0.0236425
0.05,0.5,0.0224025,0.02209
0.05,0.5,0.0244775,0.0240125
0.05,0.55,0.0249475,0.0245425
0.05,0.55,0.0248025,0.02445
0.05,0.55,0.0278825,0.027455
0.05,0.55,0.02465,0.0243575
0.05,0.55,0.0254325,0.02479
0.05,0.55,0.02759,0.027125
0.05,0.55,0.0206925,0.020425
0.05,0.55,0.0217775,0.02152
0.05,0.55,0.02913,0.0285925
0.05,0.55,0.0233225,0.022985
0.05,0.6,0.0234475,0.0231175
0.05,0.6,0.02836,0.0278325
0.05,0.6,0.0247625,0.024485
0.05,0.6,0.0266525,0.0262475
0.05,0.6,0.0277625,0.027405
0.05,0.6,0.0228475,0.022445
0.05,0.6,0.0229975,0.02274
0.05,0.6,0.019825,0.0195675
0.05,0.6,0.028185,0.02799
0.05,0.6,0.028185,0.0277
0.05,0.65,0.0195275,0.0193625
0.05,0.65,0.02468,0.024285
0.05,0.65,0.0291875,0.02887
0.05,0.65,0.0241175,0.023745
0.05,0.65,0.0248025,0.0245875
0.05,0.65,0.025645,0.025435
0.05,0.65,0.02475,0.0245175
0.05,0.65,0.0235625,0.02337
0.05,0.65,0.028655,0.0282375
0.05,0.65,0.0291175,0.0287675
0.05,0.7,0.02349,0.0232725
0.05,0.7,0.0276525,0.0273625
0.05,0.7,0.0316225,0.031275
0.05,0.7,0.0212375,0.0211275
0.05,0.7,0.026925,0.0265975
0.05,0.7,0.02375,0.0235375
0.05,0.7,0.0278525,0.0275575
0.05,0.7,0.022215,0.0219175
0.05,0.7,0.030195,0.0298875
0.05,0.7,0.0284175,0.02813
0.05,0.75,0.027485,0.0273075
0.05,0.75,0.0249025,0.0247325
0.05,0.75,0.026055,0.02586
0.05,0.75,0.02809,0.02782
0.05,0.75,0.0243925,0.0242525
0.05,0.75,0.024205,0.024055
0.05,0.75,0.0261175,0.025905
0.05,0.75,0.0275425,0.02734
0.05,0.75,0.0240375,0.023735
0.05,0.75,0.0270125,0.026695
0.05,0.8,0.0264775,0.02635
0.05,0.8,0.026,0.02582
0.05,0.8,0.0226225,0.02243
0.05,0.8,0.021825,0.0217475
0.05,0.8,0.02372,0.023545
0.05,0.8,0.026125,0.0259675
0.05,0.8,0.0264775,0.0262775
0.05,0.8,0.0273575,0.02726
0.05,0.8,0.0236275,0.0234575
0.05,0.8,0.023635,0.023505
0.05,0.85,0.0264425,0.026225
0.05,0.85,0.018985,0.0189025
0.05,0.85,0.024825,0.0246825
0.05,0.85,0.02643,0.026225
0.05,0.85,0.02264,0.02257
0.05,0.85,0.0261625,0.0260375
0.05,0.85,0.0313575,0.031125
0.05,0.85,0.0242025,0.0240775
0.05,0.85,0.0242275,0.0241375
0.05,0.85,0.02795,0.027655
0.05,0.9,0.0222875,0.0220775
0.05,0.9,0.027925,0.02781
0.05,0.9,0.024525,0.0242075
0.05,0.9,0.0202125,0.02009
0.05,0.9,0.0263125,0.0259425
0.05,0.9,0.023815,0.0236625
0.05,0.9,0.024305,0.0240775
0.05,0.9,0.0233275,0.0231075
0.05,0.9,0.023225,0.0230175
0.05,0.9,0.023915,0.0237025
0.05,0.95,0.0259025,0.0258125
0.05,0.95,0.0281625,0.02799
0.05,0.95,0.01965,0.0195725
0.05,0.95,0.0300925,0.02987
0.05,0.95,0.025375,0.0250575
0.05,0.95,0.0275225,0.027395
0.05,0.95,0.0275625,0.02741
0.05,0.95,0.025105,0.024955
0.05,0.95,0.024455,0.0244175
0.05,0.95,0.0294175,0.0291975
0.1,0,0.5431975,0.0244975
0.1,0,0.5508725,0.0242
0.1,0,0.50129,0.02437
0.1,0,0.58471,0.0242175
0.1,0,0.5396325,0.0244225
0.1,0,0.5575775,0.0241075
0.1,0,0.5937225,0.024625
0.1,0,0.53947,0.0243525
0.1,0,0.5335075,0.0244425
0.1,0,0.5190225,0.02401
0.1,0.05,0.313125,0.03776
0.1,0.05,0.22914,0.039015
0.1,0.05,0.30848,0.0409625
0.1,0.05,0.3851875,0.0391525
0.1,0.05,0.30256,0.0401025
0.1,0.05,0.293255,0.03631
0.1,0.05,0.2650025,0.0379675
0.1,0.05,0.291485,0.0367375
0.1,0.05,0.4086175,0.0372275
0.1,0.05,0.36449,0.0394
0.1,0.1,0.0921525,0.0500125
0.1,0.1,0.1259925,0.05149
0.1,0.1,0.1509325,0.05249
0.1,0.1,0.1440325,0.050475
0.1,0.1,0.080755,0.05059
0.1,0.1,0.27208,0.0509975
0.1,0.1,0.1039925,0.052705
0.1,0.1,0.0823125,0.0494025
0.1,0.1,0.0654875,0.0513475
0.1,0.1,0.07519,0.0497825
0.1,0.15,0.06469,0.0540225
0.1,0.15,0.0575625,0.0503525
0.1,0.15,0.0690825,0.0575125
0.1,0.15,0.0540575,0.047115
0.1,0.15,0.0628175,0.0531475
0.1,0.15,0.0738325,0.04954
0.1,0.15,0.058225,0.050205
0.1,0.15,0.055705,0.0487475
0.1,0.15,0.066395,0.05251
0.1,0.15,0.0624625,0.0537125
0.1,0.2,0.0557125,0.0513625
0.1,0.2,0.0534925,0.0489925
0.1,0.2,0.05653,0.0500975
0.1,0.2,0.063835,0.0578425
0.1,0.2,0.0522575,0.0471925
0.1,0.2,0.051675,0.048155
0.1,0.2,0.04901,0.0449025
0.1,0.2,0.05101,0.047295
0.1,0.2,0.0543775,0.050115
0.1,0.2,0.049155,0.046045
0.1,0.25,0.0535675,0.05064
0.1,0.25,0.0542525,0.0509875
0.1,0.25,0.054985,0.05031
0.1,0.25,0.0596425,0.056235
0.1,0.25,0.0532075,0.0503725
0.1,0.25,0.0592775,0.05432
0.1,0.25,0.0545675,0.0514075
0.1,0.25,0.063365,0.0568075
0.1,0.25,0.052205,0.049545
0.1,0.25,0.0484775,0.0451425
0.1,0.3,0.0493625,0.04743
0.1,0.3,0.05015,0.048465
0.1,0.3,0.0528425,0.05041
0.1,0.3,0.0494525,0.0473425
0.1,0.3,0.0513125,0.04923
0.1,0.3,0.049455,0.0472675
0.1,0.3,0.055795,0.0531875
0.1,0.3,0.0517025,0.0495125
0.1,0.3,0.04902,0.0470875
0.1,0.3,0.052645,0.050595
0.1,0.35,0.053035,0.0506725
0.1,0.35,0.0606975,0.05836
0.1,0.35,0.054195,0.05192
0.1,0.35,0.04834,0.046785
0.1,0.35,0.060125,0.057695
0.1,0.35,0.04562,0.0435625
0.1,0.35,0.0544775,0.0526425
0.1,0.35,0.05481,0.05271
0.1,0.35,0.052365,0.05046
0.1,0.35,0.0526225,0.0501025
0.1,0.4,0.0533675,0.0518625
0.1,0.4,0.04893,0.047825
0.1,0.4,0.0536175,0.052105
0.1,0.4,0.0488175,0.04733
0.1,0.4,0.0499625,0.048435
0.1,0.4,0.04717,0.04574
0.1,0.4,0.0572225,0.0551775
0.1,0.4,0.050235,0.0483875
0.1,0.4,0.05274,0.05108
0.1,0.4,0.058985,0.0564325
0.1,0.45,0.056665,0.054915
0.1,0.45,0.05389,0.0520625
0.1,0.45,0.05409,0.0526025
0.1,0.45,0.048275,0.04719
0.1,0.45,0.0548775,0.053
0.1,0.45,0.04876,0.0474275
0.1,0.45,0.0589125,0.0555225
0.1,0.45,0.0554525,0.053315
0.1,0.45,0.0574425,0.0556425
0.1,0.45,0.0497825,0.0481375
0.1,0.5,0.0448225,0.0439275
0.1,0.5,0.0564225,0.0542325
0.1,0.5,0.05576,0.053455
0.1,0.5,0.0527125,0.0512525
0.1,0.5,0.057665,0.0552125
0.1,0.5,0.0600225,0.0578725
0.1,0.5,0.0485125,0.0475275
0.1,0.5,0.0528625,0.0514025
0.1,0.5,0.0510475,0.050055
0.1,0.5,0.056305,0.05465
0.1,0.55,0.049335,0.048465
0.1,0.55,0.0512075,0.04934
0.1,0.55,0.04966,0.0487825
0.1,0.55,0.04871,0.0476925
0.1,0.55,0.059135,0.05703
0.1,0.55,0.0482,0.0469975
0.1,0.55,0.0532425,0.0499825
0.1,0.55,0.0525625,0.050355
0.1,0.55,0.05161,0.0500675
0.1,0.55,0.050115,0.0478225
0.1,0.6,0.055785,0.05343
0.1,0.6,0.0545425,0.0531925
0.1,0.6,0.0490825,0.0480775
0.1,0.6,0.05154,0.0493625
0.1,0.6,0.0548775,0.05333
0.1,0.6,0.058355,0.05563
0.1,0.6,0.057495,0.05495
0.1,0.6,0.0503325,0.0493975
0.1,0.6,0.0487075,0.0473575
0.1,0.6,0.05019,0.0488975
0.1,0.65,0.05429,0.0532075
0.1,0.65,0.055435,0.054105
0.1,0.65,0.053345,0.052055
0.1,0.65,0.053135,0.0513225
0.1,0.65,0.05069,0.0489075
0.1,0.65,0.0490525,0.04807
0.1,0.65,0.0514575,0.049985
0.1,0.65,0.0551125,0.053555
0.1,0.65,0.0482925,0.0476275
0.1,0.65,0.0550525,0.0536175
0.1,0.7,0.0582225,0.056565
0.1,0.7,0.0517125,0.0506125
0.1,0.7,0.055455,0.053415
0.1,0.7,0.0596825,0.057645
0.1,0.7,0.0622575,0.05989
0.1,0.7,0.05345,0.0525425
0.1,0.7,0.050375,0.0497375
0.1,0.7,0.055125,0.0532475
0.1,0.7,0.0572875,0.05588
0.1,0.7,0.053745,0.05296
0.1,0.75,0.0519525,0.0508175
0.1,0.75,0.04786,0.0468775
0.1,0.75,0.05869,0.056595
0.1,0.75,0.056805,0.05429
0.1,0.75,0.0545925,0.0530275
0.1,0.75,0.049755,0.048975
0.1,0.75,0.05464,0.053175
0.1,0.75,0.0575025,0.0551975
0.1,0.75,0.0534025,0.05232
0.1,0.75,0.0550775,0.0538925
0.1,0.8,0.054495,0.0532225
0.1,0.8,0.055215,0.05316
0.1,0.8,0.053785,0.0520175
0.1,0.8,0.054705,0.05347
0.1,0.8,0.0461075,0.04501
0.1,0.8,0.050145,0.049295
0.1,0.8,0.0485375,0.0476825
0.1,0.8,0.0475125,0.0470925
0.1,0.8,0.0586775,0.0562525
0.1,0.8,0.04712,0.0459175
0.1,0.85,0.05534,0.0546675
0.1,0.85,0.0498825,0.048755
0.1,0.85,0.05007,0.0490875
0.1,0.85,0.04964,0.0488775
0.1,0.85,0.0564825,0.0553
0.1,0.85,0.049475,0.0483875
0.1,0.85,0.05965,0.0575
0.1,0.85,0.050605,0.04932
0.1,0.85,0.04951,0.0474175
0.1,0.85,0.0546925,0.05365
0.1,0.9,0.0473375,0.0463275
0.1,0.9,0.0540825,0.0526225
0.1,0.9,0.05233,0.051385
0.1,0.9,0.05225,0.0512275
0.1,0.9,0.05208,0.0506725
0.1,0.9,0.0526225,0.051395
0.1,0.9,0.0534175,0.0523
0.1,0.9,0.05238,0.051345
0.1,0.9,0.0466475,0.0459675
0.1,0.9,0.0452175,0.04358
0.1,0.95,0.0490325,0.048275
0.1,0.95,0.0489225,0.0480375
0.1,0.95,0.0462675,0.04564
0.1,0.95,0.056325,0.0546
0.1,0.95,0.0511575,0.04991
0.1,0.95,0.0518775,0.0496025
0.1,0.95,0.05404,0.052295
0.1,0.95,0.05433,0.0526725
0.1,0.95,0.054,0.0526775
0.1,0.95,0.04879,0.048155
0.15,0,0.67701,0.0240925
0.15,0,0.7013875,0.0244125
0.15,0,0.6946275,0.02435
0.15,0,0.71301,0.02432
0.15,0,0.73409,0.02423
0.15,0,0.679495,0.0244475
0.15,0,0.7384675,0.02409
0.15,0,0.7228575,0.02387
0.15,0,0.6877425,0.0239675
0.15,0,0.7336825,0.023815
0.15,0.05,0.5233125,0.0372975
0.15,0.05,0.53899,0.0372875
0.15,0.05,0.520845,0.0398875
0.15,0.05,0.5132975,0.040155
0.15,0.05,0.491915,0.0364975
0.15,0.05,0.4840375,0.038035
0.15,0.05,0.5403325,0.035555
0.15,0.05,0.5053375,0.037245
0.15,0.05,0.4677025,0.037395
0.15,0.05,0.4677175,0.0386025
0.15,0.1,0.3498025,0.05145
0.15,0.1,0.30245,0.0565175
0.15,0.1,0.3271875,0.05118
0.15,0.1,0.3263025,0.0482825
0.15,0.1,0.359915,0.0570275
0.15,0.1,0.29997,0.052705
0.15,0.1,0.301525,0.058895
0.15,0.1,0.33196,0.0556475
0.15,0.1,0.2771,0.0533525
0.15,0.1,0.3125725,0.0513925
0.15,0.15,0.103635,0.0744975
0.15,0.15,0.1594575,0.0634625
0.15,0.15,0.2723025,0.05945
0.15,0.15,0.20171,0.0663175
0.15,0.15,0.11777,0.07269
0.15,0.15,0.1321975,0.07244
0.15,0.15,0.2368225,0.0766225
0.15,0.15,0.228755,0.0639625
0.15,0.15,0.10483,0.07295
0.15,0.15,0.1030975,0.0750175
0.15,0.2,0.081685,0.0692225
0.15,0.2,0.096135,0.08058
0.15,0.2,0.0979475,0.07747
0.15,0.2,0.12361,0.0855125
0.15,0.2,0.079095,0.0709075
0.15,0.2,0.0833825,0.07128
0.15,0.2,0.096195,0.079005
0.15,0.2,0.099645,0.0762475
0.15,0.2,0.10294,0.07943
0.15,0.2,0.0957375,0.080255
0.15,0.25,0.0961825,0.0828575
0.15,0.25,0.0932925,0.080545
0.15,0.25,0.0828025,0.0738725
0.15,0.25,0.06894,0.0633325
0.15,0.25,0.0864475,0.0772375
0.15,0.25,0.0776075,0.0705075
0.15,0.25,0.087665,0.07845
0.15,0.25,0.0903825,0.08049
0.15,0.25,0.08159,0.07501
0.15,0.25,0.083515,0.075095
0.15,0.3,0.0785275,0.07305
0.15,0.3,0.09188,0.079145
0.15,0.3,0.0788975,0.0726625
0.15,0.3,0.0780625,0.071385
0.15,0.3,0.0820275,0.0744625
0.15,0.3,0.0802975,0.073745
0.15,0.3,0.0852675,0.0756825
0.15,0.3,0.0843825,0.0715175
0.15,0.3,0.07768,0.07306
0.15,0.3,0.080725,0.0749575
0.15,0.35,0.074005,0.0695275
0.15,0.35,0.07906,0.074995
0.15,0.35,0.0793325,0.0744325
0.15,0.35,0.0828325,0.0763625
0.15,0.35,0.0823525,0.07772
0.15,0.35,0.088935,0.0815875
0.15,0.35,0.0845575,0.078875
0.15,0.35,0.0929275,0.085605
0.15,0.35,0.08079,0.07528
0.15,0.35,0.0883975,0.081415
0.15,0.4,0.0709725,0.0680725
0.15,0.4,0.08017,0.0752625
0.15,0.4,0.0801525,0.075395
0.15,0.4,0.0755,0.0708075
0.15,0.4,0.0726075,0.0678275
0.15,0.4,0.078095,0.07419
0.15,0.4,0.07898,0.073795
0.15,0.4,0.078985,0.0752375
0.15,0.4,0.088185,0.080455
0.15,0.4,0.078605,0.0747625
0.15,0.45,0.0850325,0.078695
0.15,0.45,0.0766075,0.0726125
0.15,0.45,0.0877825,0.081885
0.15,0.45,0.079225,0.0738625
0.15,0.45,0.07716,0.07259
0.15,0.45,0.083855,0.0779725
0.15,0.45,0.0854925,0.0802075
0.15,0.45,0.07776,0.0728125
0.15,0.45,0.073255,0.0701875
0.15,0.45,0.0857825,0.0777975
0.15,0.5,0.0751125,0.0712675
0.15,0.5,0.084405,0.0768875
0.15,0.5,0.0779275,0.072525
0.15,0.5,0.08418,0.0784925
0.15,0.5,0.0794,0.075105
0.15,0.5,0.09546,0.0848925
0.15,0.5,0.09156,0.084225
0.15,0.5,0.0831875,0.078945
0.15,0.5,0.078415,0.074845
0.15,0.5,0.0883775,0.081355
0.15,0.55,0.0796675,0.074505
0.15,0.55,0.0831075,0.07848
0.15,0.55,0.081225,0.075375
0.15,0.55,0.076275,0.0737425
0.15,0.55,0.0919925,0.0844575
0.15,0.55,0.0850825,0.078525
